route_id,service_id,trip_id,block_id,direction_id
800,MR_merged_67034,33017_merged_67220,a_800W-  1,0
006,MR_merged_67039,53939,b_006 -  3,0
003,MR_merged_67039,53938,b_008 -  1,0
015,MR_merged_67034,36288,a_015 - 14,1
002,MR_merged_67034,36289,a_002 -  2,1
800,SA_merged_67041,33883_merged_67977,b_800S-  1,1
015,MR_merged_67034,36282,a_015 -  2,1
015,MR_merged_67034,36283,a_015 -  4,1
003,MR_merged_67034,36280,a_003 -  5,1
002,MR_merged_67034,36281,a_002 -  4,1
015,MR_merged_67034,36286,a_015 -  1,1
002,MR_merged_67034,36287,a_002 -  3,1
002,MR_merged_67034,36284,a_002 -  1,1
003,MR_merged_67034,36285,a_003 -  4,1
023,SA_merged_67041,58909,b_023 -  3,0
017,SA_merged_67041,58908,b_017 -  2,1
027,FR_merged_67038,62353,b_027 -  1,1
027,FR_merged_67038,62355,b_027 -  1,1
027,FR_merged_67038,62354,b_027 -  1,1
027,FR_merged_67038,62356,b_027 -  1,1
016,SA_merged_67041,58901,b_016 -  1,0
023,SA_merged_67041,58900,b_023 -  6,0
023,SA_merged_67041,58903,b_023 -  4,0
017,SA_merged_67041,58902,b_017 -  3,1
017,SA_merged_67041,58905,b_017 -  4,1
016,SA_merged_67041,58904,b_016 -  2,0
016,SA_merged_67041,58907,b_016 -  1,0
023,SA_merged_67041,58906,b_023 -  5,0
961,WE_merged_67040,64216,b_961 -  5,1
961,WE_merged_67040,64217,b_961 -  3,1
961,WE_merged_67040,64214,b_961 -  3,1
113,SA_merged_67036,45288,a_113 -  1,0
105,SA_merged_67036,45289,a_105 -  2,1
961,WE_merged_67040,64210,b_961 -  1,1
113,SA_merged_67036,45284,a_113 -  1,0
102,SA_merged_67036,45285,a_102 -  1,1
105,SA_merged_67036,45286,a_105 -  1,1
102,SA_merged_67036,45287,a_102 -  1,1
113,SA_merged_67036,45280,a_113 -  1,0
105,SA_merged_67036,45281,a_105 -  1,1
102,SA_merged_67036,45282,a_102 -  1,1
105,SA_merged_67036,45283,a_105 -  2,1
090,WE_merged_67040,14_merged_68133,b_090 -  1,0
018,MR_merged_67034,36132,a_018 -  4,0
003,MR_merged_67034,36133,a_003 - 11,0
002,MR_merged_67034,36136,a_002 -  4,0
960,MR_merged_67034,36137,a_960 -  2,0
008,MR_merged_67034,36138,a_008 -  7,0
045,MR_merged_67034,36139,a_045 -  2,0
118,SA_merged_67036,44779,a_118 -  1,0
117,SA_merged_67036,44778,a_120 -  2,0
115,SA_merged_67036,44773,a_115 -  2,0
103,SA_merged_67036,44772,a_103 -  3,0
109,SA_merged_67036,44771,a_120 -  1,0
120,SA_merged_67036,44770,a_120 -  2,0
103,SA_merged_67036,44777,a_103 -  1,0
110,SA_merged_67036,44776,a_110 -  1,0
101,SA_merged_67036,44775,a_101 -  1,0
114,SA_merged_67036,44774,a_114 -  3,0
003,SA_merged_67036,41055,a_003 -  4,1
050,SA_merged_67036,41506,a_050 -  1,1
120,WE_merged_67035,27596,a_120 -  1,0
015,SA_merged_67036,41056,a_015 -  8,1
015,SA_merged_67036,41051,a_015 -  4,1
003,SA_merged_67036,41050,a_003 -  1,1
015,SA_merged_67036,41053,a_015 -  5,1
002,SA_merged_67036,41052,a_002 -  2,1
106,SU_merged_67042,66525,b_106 -  5,0
002,SA_merged_67036,41059,a_002 -  4,1
015,SA_merged_67036,41058,a_015 -  9,1
041,SA_merged_67036,41509,a_041 -  2,1
045,SA_merged_67036,41508,a_045 -  1,1
106,WE_merged_67040,63847,b_106 -  3,0
800,MR_merged_67039,33131_merged_68020,b_800W-  2,1
012,SA_merged_67041,59768,b_012 -  1,1
012,SA_merged_67041,59769,b_012 -  2,1
014,SA_merged_67041,59766,b_014 -  4,1
800,SU_merged_67037,34380_merged_67613,a_800U-  1,1
014,SA_merged_67041,59764,b_014 -  4,1
800,SU_merged_67042,34375_merged_68056,b_800U-  1,1
014,SA_merged_67041,59762,b_014 -  4,1
800,MR_merged_67039,33092_merged_67783,b_800W-  3,1
014,SA_merged_67041,59760,b_014 -  2,1
014,SA_merged_67041,59761,b_014 -  3,1
006,SA_merged_67036,40900,a_006 -  3,0
020,SA_merged_67036,40901,a_020 -  4,0
013,SA_merged_67036,40902,a_013 -  1,0
009,SA_merged_67036,40904,a_009 -  3,0
004,SA_merged_67036,40906,a_004 -  1,0
045,SA_merged_67036,40907,a_045 -  1,0
001,SA_merged_67036,40909,a_001 -  5,0
023,SA_merged_67041,58873,b_023 -  5,0
109,WE_merged_67040,64257,b_117 -  1,1
003,MR_merged_67039,54224,b_003 -  4,1
015,MR_merged_67039,54225,b_015 - 15,1
002,MR_merged_67039,54226,b_002 -  4,1
015,MR_merged_67039,54227,b_015 -  2,1
015,MR_merged_67039,54220,b_015 -  7,1
002,MR_merged_67039,54221,b_002 -  3,1
015,MR_merged_67039,54222,b_015 -  9,1
114,SA_merged_67041,65265,b_114 -  4,1
002,MR_merged_67039,54228,b_002 -  1,1
003,MR_merged_67039,54229,b_003 -  3,1
013,FR_merged_67038,56943,b_013 -  1,1
